original,short,category
I think carefully before answering any important letters.,Responding to a serious letter,Personality views & opinions
I enjoy childrens' company.,Children,Personality views & opinions
I am not afraid to give my opinion if I feel strongly about something.,Assertiveness,Personality views & opinions
I can get angry very easily.,Getting angry,Personality views & opinions
I always make sure I connect with the right people.,Knowing the right people,Personality views & opinions
I have to be well prepared before public speaking.,Public speaking,Personality views & opinions
I will find a fault in myself if people don't like me.,Unpopularity,Personality views & opinions
I cry when I feel down or things don't go the right way.,Life struggles,Personality views & opinions
I am 100% happy with my life.,Happiness in life,Personality views & opinions
I am always full of life and energy.,Energy levels,Personality views & opinions
"I prefer big dangerous dogs to smaller, calmer dogs.",Small - big dogs,Personality views & opinions
I believe all my personality traits are positive.,Personality,Personality views & opinions
If I find something the doesn't belong to me I will hand it in.,Finding lost valuables,Personality views & opinions
I find it very difficult to get up in the morning.,Getting up,Personality views & opinions
I have many different hobbies and interests.,Interests or hobbies,Personality views & opinions
I always listen to my parents' advice.,Parents' advice,Personality views & opinions
I enjoy taking part in surveys.,Questionnaires or polls,Personality views & opinions
How much time do you spend online?,Internet usage,Personality views & opinions
I save all the money I can.,Finances,Spending habits
I enjoy going to large shopping centres.,Shopping centres,Spending habits
I prefer branded clothing to non branded.,Branded clothing,Spending habits
I spend a lot of money on  partying and socializing.,Entertainment spending,Spending habits
I spend a lot of money on my appearance.,Spending on looks,Spending habits
I spend a lot of money on gadgets.,Spending on gadgets,Spending habits
"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating,Spending habits
Age,Age,Demographics
Height,Height,Demographics
Weight,Weight,Demographics
How many siblings do you have?,Number of siblings,Demographics
Gender,Gender,Demographics
I am,Left - right handed,Demographics
Highest education achieved,Education,Demographics
I am the only child,Only child,Demographics
I spent most of my childhood in a,Village - town,Demographics
I lived most of my childhood in a,House - block of flats,Demographics
